concurrency,batch_size,max_tokens,total_requests,avg_latency_ms,std_latency_ms,p90_latency_ms,p99_latency_ms,throughput_tps,input_length
1,1,512,32,1450.28,37.42,1498.43,1531.66,353.03,128
2,1,512,32,1529.22,32.49,1580.65,1609.25,669.57,128
4,1,512,32,1552.19,101.89,1745.64,1754.72,1319.28,128
8,1,512,32,1547.08,6.17,1556.40,1556.55,2646.31,128
16,1,512,128,1630.34,28.80,1680.11,1680.31,5021.99,128
32,1,512,128,2176.13,68.44,2287.98,2290.62,7521.85,128
64,1,512,256,2771.01,33.45,2809.73,2811.61,11807.83,128
128,1,512,512,4892.43,1557.63,7804.42,7842.96,12156.49,128
