batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second,memory_usage_mb,cuda_max_memory_allocated_mb
1,64,64,445.1,1.21,287.58,0.78,1455.95,2110.76
1,128,64,451.29,0.49,425.45,0.46,1476.9,2116.09
1,64,128,892.96,2.05,215.02,0.49,1477.34,2112.05
1,128,128,922.13,30.27,277.91,8.92,1477.34,2116.09
2,64,64,497.73,0.22,514.34,0.23,1477.59,2116.09
2,128,64,518.63,3.67,740.44,5.22,1478.03,2124.5
2,64,128,1009.1,1.89,380.54,0.71,1478.25,2117.79
2,128,128,1036.4,2.33,494.02,1.11,1478.25,2124.5
