batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,64,360234.5,1025.9,177.66,0.5
1,128,64,358367.52,561.25,178.59,0.28
1,64,128,711758.22,61.48,179.84,0.02
1,128,128,718841.87,2877.69,178.07,0.71
2,64,64,376399.68,1403.3,340.07,1.26
2,128,64,377548.85,2664.96,339.05,2.38
2,64,128,746827.6,2438.57,342.79,1.12
2,128,128,759863.77,7031.02,336.93,3.11
