batch_size,max_new_tokens,input_length,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,64,359.60785547892254,1.8112561416282542,177.97617107778032,0.8994909371104289
1,64,128,355.8572133382161,0.2779707298200983,179.84752498655158,0.14054534358681747
1,128,64,711.754322052002,0.36599920736743297,179.8373819033752,0.09244895575258749
1,128,128,711.6723855336508,0.27155393550217477,179.8580656478714,0.06863126187019297
2,64,64,374.2949962615967,0.5201069836270323,341.9769125931336,0.47532664920259804
2,64,128,375.00476837158203,0.9629941175099213,341.3312400264991,0.8749837548050555
2,128,64,743.2446479797363,0.8806048449173196,344.4361965427435,0.4084134983954392
2,128,128,746.2193965911865,1.7307614529863726,343.064488387278,0.7947467785676556
