batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,64,360.15,0.41,177.7,0.2
1,64,128,712.27,0.67,179.71,0.17
1,64,256,1430.78,5.64,178.93,0.71
1,64,512,2863.06,9.46,178.83,0.59
2,64,64,373.84,0.9,342.4,0.83
2,64,128,744.84,1.15,343.7,0.53
2,64,256,1496.32,11.83,342.19,2.69
2,64,512,3019.37,17.94,339.16,2.01
4,64,64,378.93,1.97,675.61,3.5
4,64,128,755.36,4.06,677.84,3.65
4,64,256,1500.17,2.14,682.59,0.98
4,64,512,3055.24,20.25,670.35,4.45
8,64,64,380.74,2.04,1344.79,7.19
8,64,128,755.04,1.5,1356.23,2.71
8,64,256,1524.12,2.71,1343.73,2.39
8,64,512,3096.85,17.16,1322.67,7.3
16,64,64,392.77,2.77,2607.26,18.38
16,64,128,786.26,3.99,2604.79,13.27
16,64,256,1569.42,4.68,2609.9,7.76
16,64,512,3216.9,9.66,2546.57,7.65
