batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,32,106.95,1.05,299.23,2.91
1,64,64,213.71,0.69,299.48,0.97
1,64,128,426.25,2.24,300.3,1.57
2,64,32,114.56,0.58,558.69,2.81
2,64,64,224.81,0.49,569.37,1.24
2,64,128,444.59,0.75,575.82,0.98
4,64,32,117.78,0.93,1086.81,8.62
4,64,64,226.97,0.23,1127.9,1.13
4,64,128,461.06,6.11,1110.69,14.75
8,64,32,116.74,0.56,2193.02,10.6
8,64,64,229.87,2.84,2227.66,27.61
8,64,128,453.77,2.97,2256.74,14.7
16,64,32,118.11,0.29,4335.04,10.65
16,64,64,234.63,3.51,4365.26,65.78
16,64,128,460.26,0.83,4449.65,8.06
