batch_size,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,223.9,1.86,285.86,2.38
1,128,440.96,2.91,290.29,1.92
2,64,237.04,2.78,540.07,6.37
2,128,469.64,4.1,545.14,4.73
4,64,235.88,2.34,1085.41,10.72
4,128,464.67,0.89,1101.86,2.1
